date,open,high,low,close,amount
2021-08-06,1630.3,1639.19,1575.42,1586.67,4216382.53
2021-08-09,1567.44,1582.92,1548.69,1574.44,3178352.21
2021-08-10,1574.01,1592.83,1569.28,1588.19,3435645.27
2021-08-11,1589.43,1593.15,1564.97,1578.79,2948450.43
2021-08-12,1572.15,1604.73,1570.35,1586.5,2797001.88
2021-08-13,1580.12,1588.23,1549.68,1552.78,3332210.47
2021-08-16,1547.39,1566.0,1535.35,1547.93,2567163.33
2021-08-17,1544.4,1555.45,1506.72,1509.25,2439983.99
2021-08-18,1514.46,1530.24,1501.18,1507.99,2205343.49
2021-08-19,1509.72,1553.16,1508.17,1546.11,2566232.98
2021-08-20,1537.91,1557.11,1514.07,1529.09,2549585.44
2021-08-23,1534.39,1568.84,1524.2,1564.11,2403202.01
2021-08-24,1567.7,1586.52,1550.88,1578.03,2651868.19
2021-08-25,1573.74,1574.4,1535.09,1542.78,2670028.5
2021-08-26,1546.32,1555.04,1494.89,1497.34,2881524.59
2021-08-27,1491.34,1506.65,1476.56,1480.31,2660488.99
2021-08-30,1487.9,1508.78,1463.4,1471.46,3213278.33
2021-08-31,1463.13,1463.56,1423.51,1441.17,3075396.56
2021-09-01,1437.26,1438.38,1400.16,1424.66,2968492.08
2021-09-02,1416.16,1424.17,1395.51,1399.48,2513722.79
2021-09-03,1399.47,1415.24,1382.64,1400.89,2754737.92
2021-09-06,1398.24,1441.71,1393.54,1439.0,2228395.68
2021-09-07,1435.73,1443.34,1426.03,1438.57,1961250.79
2021-09-08,1439.66,1439.66,1408.72,1412.72,2061860.98
2021-09-09,1414.07,1425.28,1393.61,1402.19,2277798.02
2021-09-10,1398.33,1431.71,1392.21,1426.81,2753404.99
2021-09-13,1426.54,1426.76,1384.02,1384.43,2311703.77
2021-09-14,1384.28,1414.09,1383.41,1396.67,2261559.79
2021-09-15,1395.61,1395.99,1378.95,1384.52,1768496.81
2021-09-16,1378.18,1380.16,1347.9,1351.43,2071482.45
2021-09-17,1349.34,1360.91,1332.1,1349.68,1960210.56
2021-09-22,1338.01,1361.21,1335.5,1355.28,1818481.23
2021-09-23,1359.67,1376.57,1354.21,1363.79,1672292.08
2021-09-24,1362.98,1390.5,1359.85,1375.0,1869470.14
2021-09-27,1386.52,1397.18,1354.2,1368.69,1944758.87
2021-09-28,1362.33,1379.59,1350.79,1354.1,1597093.37
2021-09-29,1344.89,1356.64,1336.51,1345.77,1924417.49
2021-09-30,1348.65,1371.49,1348.65,1368.72,1448579.23
2021-10-08,1378.53,1388.02,1361.04,1364.46,1541231.36
2021-10-11,1367.21,1377.31,1348.05,1349.77,1513014.76
2021-10-12,1348.22,1355.92,1312.44,1319.39,1624645.85
2021-10-13,1322.89,1349.17,1322.89,1344.76,1565538.36
2021-10-14,1346.99,1356.21,1339.56,1347.27,1300761.15
2021-10-15,1349.4,1367.23,1341.75,1363.16,1580866.73
2021-10-18,1366.55,1366.55,1338.89,1352.58,1593947.84
2021-10-19,1355.07,1369.16,1352.01,1366.79,1363856.19
2021-10-20,1370.21,1381.06,1363.65,1373.59,1571714.92
2021-10-21,1374.65,1379.19,1355.93,1362.4,1533767.83
2021-10-22,1367.06,1379.19,1359.27,1368.14,2044367.22
2021-10-25,1366.21,1381.24,1359.63,1380.31,1735638.75
2021-10-26,1379.79,1389.48,1372.66,1376.13,1774272.93
2021-10-27,1371.79,1374.36,1354.3,1361.82,2184986.84
